selection_rank	paper_id	doi	year	journal	title	story_archetype	main_axis	final_claim_type	template_path
16	S0006	10.1002/advs.202417528	2025	Adv Sci (Weinh)	Integrative Single-Cell Analysis Reveals Iron Overload-Induced Senescence and Metabolic Reprogramming in Ovarian Endometriosis-Associated Infertility.	disease_or_condition	condition	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0006.md
17	S0056	10.1016/j.isci.2025.113626	2025	iScience	Single-cell and spatial transcriptomics reveal intratumor heterogeneity and immune evasion in natural killer/T cell lymphoma.	tumor_niche;immune_niche;cell_state_program	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0056.md
18	S0089	10.1038/s41467-024-53756-7	2024	Nat Commun	Tracing the evolutionary and genetic footprints of atmospheric tillandsioids transition from land to air.	developmental_or_temporal	time	spatiotemporal atlas and process model	story_templates/papers/S0089.md
19	S0184	10.4240/wjgs.v17.i4.103494	2025	World J Gastrointest Surg	Single-nucleus RNA sequencing and spatial transcriptomics reveal the mechanism by which Xiaozhiling injection treats internal hemorrhoids.	disease_or_condition	condition	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0184.md
20	S0050	10.1016/j.fmre.2025.04.014	2025	Fundam Res	Primary cilia in growth plates orchestrate long bone development.	developmental_or_temporal	time	spatiotemporal atlas and process model	story_templates/papers/S0050.md
21	S0146	10.1111/pbi.14294	2024	Plant Biotechnol J	Spatiotemporal transcriptomic atlas of rhizome formation in Oryza longistaminata.	spatial_atlas;developmental_or_temporal;plant_spatial_atlas	anatomy;time;organ	spatiotemporal atlas and process model	story_templates/papers/S0146.md
22	S0085	10.1038/s41467-023-42658-9	2023	Nat Commun	Dbh+ catecholaminergic cardiomyocytes contribute to the structure and function of the cardiac conduction system in murine heart.	spatial_transcriptomics_case_study	anatomy	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0085.md
23	S0078	10.1038/s41421-024-00747-z	2025	Cell Discov	Stromal architecture and fibroblast subpopulations with opposing effects on outcomes in hepatocellular carcinoma.	tumor_niche;cell_state_program	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0078.md
24	S0040	10.1016/j.crmeth.2025.101205	2025	Cell Rep Methods	stTransfer enables transfer of single-cell annotations to spatial transcriptomics with single-cell resolution.	method_or_workflow	method	method benchmark or reusable workflow	story_templates/papers/S0040.md
25	S0131	10.1093/gigascience/giae042	2024	Gigascience	spatiAlign: an unsupervised contrastive learning model for data integration of spatially resolved transcriptomics.	method_or_workflow	method	method benchmark or reusable workflow	story_templates/papers/S0131.md
26	S0009	10.1002/ctm2.1515	2023	Clin Transl Med	Single-cell and spatial transcriptomics reveal POSTN+ cancer-associated fibroblasts correlated with immune suppression and tumour progression in non-small cell lung cancer.	tumor_niche;immune_niche;cell_state_program	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0009.md
27	S0158	10.1158/0008-5472.can-24-1509	2025	Cancer Res	Spatial and Single-Cell Analyses Reveal Heterogeneity of DNAM-1 Receptor-Ligand Interactions That Instructs Intratumoral γδT-cell Activity.	tumor_niche;cell_state_program	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0158.md
28	S0187	10.7554/elife.85873	2023	Elife	Single-cell RNA sequencing reveals cellular and molecular heterogeneity in fibrocartilaginous enthesis formation.	cell_state_program	cell_state	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0187.md
29	S0181	10.3389/fimmu.2024.1522582	2024	Front Immunol	Spatially-resolved analyses of muscle invasive bladder cancer microenvironment unveil a distinct fibroblast cluster associated with prognosis.	tumor_niche;immune_niche;cell_state_program	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0181.md
30	S0002	10.1002/advs.202405914	2025	Adv Sci (Weinh)	Spatiotemporal Transcriptomic Profiling Reveals the Dynamic Immunological Landscape of Alveolar Echinococcosis.	spatial_atlas;developmental_or_temporal	anatomy;time	spatiotemporal atlas and process model	story_templates/papers/S0002.md
31	S0008	10.1002/advs.202509733	2025	Adv Sci (Weinh)	Globotriaosylceramide Gb3 Influences Wound Healing and Scar Formation by Orchestrating Fibroblast Heterogeneity.	disease_or_condition;cell_state_program	condition;cell_state	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0008.md
32	S0039	10.1016/j.crmeth.2024.100763	2024	Cell Rep Methods	Analysis of synthetic cellular barcodes in the genome and transcriptome with BARtab and bartools.	method_or_workflow	method	method benchmark or reusable workflow	story_templates/papers/S0039.md
33	S0094	10.1038/s41467-025-58511-0	2025	Nat Commun	Spatially resolved atlas of breast cancer uncovers intercellular machinery of venular niche governing lymphocyte extravasation.	spatial_atlas;tumor_niche	anatomy;disease_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0094.md
34	S0179	10.3389/fcell.2023.1112062	2023	Front Cell Dev Biol	Developmental deficits of MGE-derived interneurons in the Cntnap2 knockout mouse model of autism spectrum disorder.	method_or_workflow;developmental_or_temporal;disease_or_condition	method;time;condition	method benchmark or reusable workflow	story_templates/papers/S0179.md
35	S0091	10.1038/s41467-024-54715-y	2025	Nat Commun	Stereo-seq of the prefrontal cortex in aging and Alzheimer's disease.	disease_or_condition;neuro_spatial_atlas	condition;layer	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0091.md
36	S0004	10.1002/advs.202411126	2025	Adv Sci (Weinh)	Integrating Spatial and Single-Nucleus Transcriptomic Data to Assess the Effects of Intrauterine Hyperglycemia on Fetal Pancreatic Development.	developmental_or_temporal;disease_or_condition	time;condition	spatiotemporal atlas and process model	story_templates/papers/S0004.md
37	S0007	10.1002/advs.202500216	2025	Adv Sci (Weinh)	Single-Cell and Spatial Transcriptomic Profiling of Penile Squamous Cell Carcinoma Reveals Dynamics of Tumor Differentiation and Immune Microenvironment.	spatial_atlas;tumor_niche;immune_niche	anatomy;disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0007.md
38	S0095	10.1038/s41467-025-58614-8	2025	Nat Commun	Single-nucleus and spatial transcriptomics identify brain landscape of gene regulatory networks associated with behavioral maturation in honeybees.	spatial_atlas;neuro_spatial_atlas	anatomy;layer	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0095.md
39	S0073	10.1038/s41392-025-02143-9	2025	Signal Transduct Target Ther	Spatiotemporal transcriptomics elucidates the pathogenesis of fulminant viral myocarditis.	developmental_or_temporal	time	spatiotemporal atlas and process model	story_templates/papers/S0073.md
40	S0054	10.1016/j.isci.2024.109009	2024	iScience	Spatial and single-nucleus transcriptomics decoding the molecular landscape and cellular organization of avian optic tectum.	spatial_atlas	anatomy	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0054.md
41	S0147	10.1111/pbi.70351	2025	Plant Biotechnol J	Spatial Transcriptomics of Developing Wheat Seed Reveals Concentric Gene Expression Zones and Subgenome Biased Expression of Key Genes.	developmental_or_temporal;plant_spatial_atlas	time;organ	spatiotemporal atlas and process model	story_templates/papers/S0147.md
42	S0055	10.1016/j.isci.2025.112128	2025	iScience	Single-nucleus profiling decoding the subcortical visual pathway evolution of vertebrates.	spatial_atlas;developmental_or_temporal	anatomy;time	spatiotemporal atlas and process model	story_templates/papers/S0055.md
43	S0001	10.1002/advs.202203040	2022	Adv Sci (Weinh)	Single-Nucleus RNA Sequencing and Spatial Transcriptomics Reveal the Immunological Microenvironment of Cervical Squamous Cell Carcinoma.	tumor_niche;immune_niche	disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0001.md
44	S0144	10.1111/nph.70160	2025	New Phytol	Single-cell multiome reveals root hair-specific responses to salt stress.	disease_or_condition;plant_spatial_atlas	condition;organ	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0144.md
45	S0171	10.1186/s13073-025-01475-z	2025	Genome Med	Spatiotemporal single-cell analysis elucidates the cellular and molecular dynamics of human cornea aging.	developmental_or_temporal;disease_or_condition	time;condition	spatiotemporal atlas and process model	story_templates/papers/S0171.md
46	S0014	10.1007/s12264-024-01241-y	2025	Neurosci Bull	Dentate Gyrus Morphogenesis is Regulated by an Autism Risk Gene Trio Function in Granule Cells.	developmental_or_temporal;disease_or_condition	time;condition	spatiotemporal atlas and process model	story_templates/papers/S0014.md
47	S0168	10.1186/s12974-024-03161-0	2024	J Neuroinflammation	Integrating single-nucleus RNA sequencing and spatial transcriptomics to elucidate a specialized subpopulation of astrocytes, microglia and vascular cells in brains of mouse model of lipopolysaccharide-induced sepsis-associated encephalopathy.	method_or_workflow;neuro_spatial_atlas;cell_state_program	method;layer;cell_state	method benchmark or reusable workflow	story_templates/papers/S0168.md
48	S0148	10.1126/sciadv.adi4777	2023	Sci Adv	Adrenomedullin has a pivotal role in trophoblast differentiation: A promising nanotechnology-based therapeutic target for early-onset preeclampsia.	disease_or_condition	condition	condition-associated spatial atlas and candidate mechanisms	story_templates/papers/S0148.md
49	S0177	10.3389/fcell.2022.1060298	2022	Front Cell Dev Biol	Resolving the gene expression maps of human first-trimester chorionic villi with spatial transcriptome.	spatial_atlas	anatomy	descriptive spatial atlas and reusable tissue map	story_templates/papers/S0177.md
50	S0166	10.1186/s12943-025-02231-y	2025	Mol Cancer	Comprehensive single-cell atlas of colorectal neuroendocrine tumors with liver metastases: unraveling tumor microenvironment heterogeneity between primary lesions and metastases.	spatial_atlas;tumor_niche;immune_niche;cell_state_program	anatomy;disease_state;cell_state	tumor microenvironment atlas and mechanism hypotheses	story_templates/papers/S0166.md
